"Rtot_PMMApaint_CacO3_10vv - RawData"
"Wavelength nm.","R%"
887.00,52.474
888.00,52.518
889.00,52.541
890.00,52.477
891.00,52.423
892.00,52.404
893.00,52.419
894.00,52.419
895.00,52.391
896.00,52.429
897.00,52.361
898.00,52.316
899.00,52.354
900.00,52.338
901.00,52.289
902.00,52.138
903.00,52.140
904.00,52.182
905.00,52.177
906.00,52.152
907.00,52.129
908.00,52.154
909.00,52.174
910.00,52.190
911.00,52.205
912.00,52.154
913.00,52.131
914.00,52.135
915.00,52.095
916.00,52.082
917.00,52.052
918.00,52.047
919.00,52.001
920.00,52.035
921.00,52.038
922.00,51.997
923.00,51.954
924.00,51.899
925.00,51.933
926.00,51.914
927.00,51.895
928.00,51.922
929.00,51.889
930.00,51.920
931.00,51.914
932.00,51.890
933.00,51.959
934.00,51.884
935.00,51.904
936.00,51.841
937.00,51.846
938.00,51.835
939.00,51.827
940.00,51.844
941.00,51.858
942.00,51.864
943.00,51.876
944.00,51.801
945.00,51.831
946.00,51.821
947.00,51.877
948.00,51.869
949.00,51.824
950.00,51.806
951.00,51.759
952.00,51.799
953.00,51.805
954.00,51.819
955.00,51.835
956.00,51.760
957.00,51.796
958.00,51.756
959.00,51.756
960.00,51.710
961.00,51.664
962.00,51.711
963.00,51.668
964.00,51.668
965.00,51.668
966.00,51.658
967.00,51.665
968.00,51.605
969.00,51.624
970.00,51.639
971.00,51.656
972.00,51.652
973.00,51.605
974.00,51.574
975.00,51.590
976.00,51.590
977.00,51.616
978.00,51.533
979.00,51.524
980.00,51.478
981.00,51.470
982.00,51.484
983.00,51.441
984.00,51.457
985.00,51.432
986.00,51.451
987.00,51.448
988.00,51.396
989.00,51.397
990.00,51.381
991.00,51.400
992.00,51.402
993.00,51.372
994.00,51.342
995.00,51.312
996.00,51.291
997.00,51.301
998.00,51.248
999.00,51.261
1000.00,51.247
1001.00,51.294
1002.00,51.275
1003.00,51.232
1004.00,51.263
1005.00,51.237
1006.00,51.255
1007.00,51.198
1008.00,51.187
1009.00,51.206
1010.00,51.155
1011.00,51.169
1012.00,51.117
1013.00,51.128
1014.00,51.105
1015.00,51.069
1016.00,51.071
1017.00,51.042
1018.00,51.053
1019.00,51.068
1020.00,51.067
1021.00,51.076
1022.00,51.029
1023.00,51.086
1024.00,51.078
1025.00,51.059
1026.00,51.025
1027.00,50.982
1028.00,50.985
1029.00,50.959
1030.00,50.939
1031.00,50.961
1032.00,50.935
1033.00,50.973
1034.00,50.925
1035.00,50.887
1036.00,50.900
1037.00,50.891
1038.00,50.945
1039.00,50.901
1040.00,50.911
1041.00,50.888
1042.00,50.849
1043.00,50.847
1044.00,50.822
1045.00,50.860
1046.00,50.876
1047.00,50.870
1048.00,50.886
1049.00,50.831
1050.00,50.852
1051.00,50.856
1052.00,50.864
1053.00,50.875
1054.00,50.834
1055.00,50.875
1056.00,50.847
1057.00,50.832
1058.00,50.790
1059.00,50.749
1060.00,50.741
1061.00,50.737
1062.00,50.756
1063.00,50.770
1064.00,50.757
1065.00,50.765
1066.00,50.717
1067.00,50.704
1068.00,50.707
1069.00,50.693
1070.00,50.730
1071.00,50.701
1072.00,50.759
1073.00,50.744
1074.00,50.751
1075.00,50.750
1076.00,50.692
1077.00,50.663
1078.00,50.621
1079.00,50.617
1080.00,50.668
1081.00,50.663
1082.00,50.704
1083.00,50.659
1084.00,50.672
1085.00,50.679
1086.00,50.671
1087.00,50.638
1088.00,50.579
1089.00,50.587
1090.00,50.631
1091.00,50.629
1092.00,50.657
1093.00,50.598
1094.00,50.618
1095.00,50.595
1096.00,50.625
1097.00,50.639
1098.00,50.619
1099.00,50.606
1100.00,50.588
1101.00,50.544
1102.00,50.530
1103.00,50.493
1104.00,50.537
1105.00,50.553
1106.00,50.552
1107.00,50.546
1108.00,50.509
1109.00,50.529
1110.00,50.485
1111.00,50.478
1112.00,50.468
1113.00,50.483
1114.00,50.483
1115.00,50.420
1116.00,50.397
1117.00,50.375
1118.00,50.359
1119.00,50.330
1120.00,50.277
1121.00,50.295
1122.00,50.241
1123.00,50.199
1124.00,50.164
1125.00,50.129
1126.00,50.079
1127.00,49.938
1128.00,49.832
1129.00,49.752
1130.00,49.663
1131.00,49.567
1132.00,49.418
1133.00,49.314
1134.00,49.221
1135.00,49.111
1136.00,49.003
1137.00,48.838
1138.00,48.753
1139.00,48.689
1140.00,48.642
1141.00,48.603
1142.00,48.531
1143.00,48.569
1144.00,48.619
1145.00,48.667
1146.00,48.709
1147.00,48.680
1148.00,48.785
1149.00,48.864
1150.00,49.006
1151.00,49.114
1152.00,49.186
1153.00,49.309
1154.00,49.388
1155.00,49.476
1156.00,49.553
1157.00,49.576
1158.00,49.647
1159.00,49.664
1160.00,49.715
1161.00,49.738
1162.00,49.718
1163.00,49.741
1164.00,49.716
1165.00,49.762
1166.00,49.778
1167.00,49.773
1168.00,49.773
1169.00,49.721
1170.00,49.769
1171.00,49.741
1172.00,49.760
1173.00,49.730
1174.00,49.720
1175.00,49.713
1176.00,49.703
1177.00,49.713
1178.00,49.703
1179.00,49.640
1180.00,49.615
1181.00,49.575
1182.00,49.561
1183.00,49.515
1184.00,49.459
1185.00,49.446
1186.00,49.390
1187.00,49.396
1188.00,49.342
1189.00,49.301
1190.00,49.285
1191.00,49.268
1192.00,49.297
1193.00,49.319
1194.00,49.332
1195.00,49.362
1196.00,49.320
1197.00,49.379
1198.00,49.413
1199.00,49.447
1200.00,49.474
1201.00,49.431
1202.00,49.453
1203.00,49.428
1204.00,49.485
1205.00,49.574
1206.00,49.636
1207.00,49.695
1208.00,49.685
1209.00,49.743
1210.00,49.766
1211.00,49.791
1212.00,49.844
1213.00,49.866
1214.00,49.938
1215.00,49.949
1216.00,49.981
1217.00,49.979
1218.00,49.964
1219.00,50.015
1220.00,50.052
1221.00,50.084
1222.00,50.104
1223.00,50.088
1224.00,50.171
1225.00,50.184
1226.00,50.224
1227.00,50.195
1228.00,50.196
1229.00,50.244
1230.00,50.265
1231.00,50.294
1232.00,50.289
1233.00,50.275
1234.00,50.334
1235.00,50.328
1236.00,50.389
1237.00,50.363
1238.00,50.390
1239.00,50.390
1240.00,50.381
1241.00,50.397
1242.00,50.380
1243.00,50.349
1244.00,50.340
1245.00,50.297
1246.00,50.339
1247.00,50.336
1248.00,50.366
1249.00,50.373
1250.00,50.333
1251.00,50.365
1252.00,50.341
1253.00,50.384
1254.00,50.380
1255.00,50.379
1256.00,50.418
1257.00,50.373
1258.00,50.386
1259.00,50.372
1260.00,50.397
1261.00,50.450
1262.00,50.390
1263.00,50.402
1264.00,50.374
1265.00,50.417
1266.00,50.425
1267.00,50.377
1268.00,50.380
1269.00,50.375
1270.00,50.385
1271.00,50.434
1272.00,50.397
1273.00,50.443
1274.00,50.402
1275.00,50.424
1276.00,50.441
1277.00,50.467
1278.00,50.530
1279.00,50.499
1280.00,50.519
1281.00,50.513
1282.00,50.558
1283.00,50.573
1284.00,50.554
1285.00,50.574
1286.00,50.563
1287.00,50.532
1288.00,50.533
1289.00,50.488
1290.00,50.506
1291.00,50.455
1292.00,50.489
1293.00,50.511
1294.00,50.506
1295.00,50.613
1296.00,50.709
1297.00,50.663
1298.00,50.574
1299.00,50.457
1300.00,50.519
1301.00,50.519
1302.00,50.550
1303.00,50.739
1304.00,50.709
1305.00,50.723
1306.00,50.697
1307.00,50.831
1308.00,50.813
1309.00,50.728
1310.00,50.703
1311.00,50.730
1312.00,50.724
1313.00,50.581
1314.00,50.717
1315.00,50.751
1316.00,50.819
1317.00,50.693
1318.00,50.655
1319.00,50.615
1320.00,50.686
1321.00,50.650
1322.00,50.699
1323.00,50.744
1324.00,50.818
1325.00,50.840
1326.00,50.695
1327.00,50.621
1328.00,50.607
1329.00,50.754
1330.00,50.766
1331.00,50.834
1332.00,50.716
1333.00,50.754
1334.00,50.801
1335.00,50.734
1336.00,50.763
1337.00,50.709
1338.00,50.739
1339.00,50.816
1340.00,50.820
1341.00,50.871
1342.00,50.744
1343.00,50.745
1344.00,50.769
1345.00,50.931
1346.00,50.803
1347.00,50.799
1348.00,50.688
1349.00,50.592
1350.00,50.666
1351.00,50.525
1352.00,50.614
1353.00,50.446
1354.00,50.562
1355.00,50.666
1356.00,50.706
1357.00,50.629
1358.00,50.464
1359.00,50.480
1360.00,50.396
1361.00,50.521
1362.00,50.425
1363.00,50.419
1364.00,50.414
1365.00,50.228
1366.00,50.296
1367.00,50.253
1368.00,50.455
1369.00,50.464
1370.00,50.441
1371.00,50.522
1372.00,50.484
1373.00,50.450
1374.00,50.436
1375.00,50.629
1376.00,50.482
1377.00,50.365
1378.00,50.287
1379.00,50.367
1380.00,50.448
1381.00,50.335
1382.00,50.402
1383.00,50.317
1384.00,50.216
1385.00,50.191
1386.00,50.388
1387.00,50.393
1388.00,50.387
1389.00,50.259
1390.00,50.458
1391.00,50.621
1392.00,50.673
1393.00,50.656
1394.00,50.680
1395.00,50.618
1396.00,50.534
1397.00,50.396
1398.00,50.565
1399.00,50.579
1400.00,50.598
