"Rtot_PMMApaint_CaCO3_15vv - RawData"
"Wavelength nm.","R%"
757.00,81.172
758.00,81.039
759.00,81.011
760.00,80.933
761.00,80.779
762.00,80.766
763.00,80.829
764.00,80.975
765.00,80.963
766.00,80.831
767.00,80.539
768.00,80.393
769.00,80.319
770.00,80.367
771.00,80.479
772.00,80.368
773.00,80.269
774.00,80.247
775.00,80.180
776.00,80.253
777.00,80.055
778.00,80.086
779.00,80.059
780.00,80.059
781.00,80.025
782.00,79.884
783.00,79.818
784.00,79.819
785.00,79.822
786.00,79.727
787.00,79.636
788.00,79.673
789.00,79.671
790.00,79.733
791.00,79.673
792.00,79.621
793.00,79.646
794.00,79.382
795.00,79.284
796.00,79.006
797.00,79.259
798.00,79.307
799.00,79.431
800.00,79.488
801.00,79.616
802.00,79.543
803.00,79.249
804.00,79.040
805.00,78.855
806.00,79.029
807.00,79.012
808.00,79.145
809.00,79.030
810.00,79.127
811.00,79.174
812.00,79.038
813.00,78.752
814.00,78.673
815.00,78.698
816.00,78.852
817.00,78.725
818.00,78.781
819.00,78.658
820.00,78.693
821.00,78.582
822.00,78.485
823.00,78.433
824.00,78.472
825.00,78.543
826.00,78.478
827.00,78.416
828.00,78.163
829.00,78.270
830.00,78.276
831.00,78.451
832.00,78.444
833.00,78.369
834.00,78.461
835.00,78.345
836.00,78.317
837.00,78.267
838.00,78.287
839.00,78.260
840.00,78.189
841.00,78.107
842.00,78.003
843.00,77.994
844.00,78.079
845.00,78.204
846.00,78.084
847.00,77.975
848.00,77.876
849.00,77.873
850.00,77.830
851.00,77.873
852.00,77.869
853.00,77.764
854.00,77.649
855.00,77.621
856.00,77.671
857.00,77.674
858.00,77.665
859.00,77.597
860.00,77.608
861.00,77.555
862.00,77.527
863.00,77.463
864.00,77.552
865.00,77.527
866.00,77.468
867.00,77.339
868.00,77.349
869.00,77.396
870.00,77.342
871.00,77.300
872.00,77.215
873.00,77.192
874.00,77.178
875.00,77.108
876.00,77.042
877.00,76.979
878.00,77.059
879.00,77.110
880.00,77.208
881.00,77.121
882.00,77.114
883.00,76.972
884.00,77.017
885.00,77.025
886.00,77.049
887.00,76.981
888.00,76.971
889.00,76.978
890.00,76.962
891.00,76.868
892.00,76.874
893.00,76.859
894.00,76.831
895.00,76.759
896.00,76.734
897.00,76.732
898.00,76.745
899.00,76.717
900.00,76.703
901.00,76.629
902.00,76.599
903.00,76.594
904.00,76.579
905.00,76.590
