"Tdif_PMMApaint_15vv - RawData"
"Wavelength nm.","T%"
809.00,9.682
810.00,9.682
811.00,9.675
812.00,9.688
813.00,9.655
814.00,9.642
815.00,9.604
816.00,9.634
817.00,9.653
818.00,9.728
819.00,9.734
820.00,9.757
821.00,9.701
822.00,9.657
823.00,9.624
824.00,9.662
825.00,9.698
826.00,9.742
827.00,9.735
828.00,9.748
829.00,9.729
830.00,9.753
831.00,9.758
832.00,9.824
833.00,9.846
834.00,9.849
835.00,9.848
836.00,9.797
837.00,9.848
838.00,9.844
839.00,9.905
840.00,9.878
841.00,9.838
842.00,9.810
843.00,9.830
844.00,9.850
845.00,9.807
846.00,9.765
847.00,9.833
848.00,9.849
849.00,9.774
850.00,9.737
851.00,9.705
852.00,9.799
853.00,9.762
854.00,9.780
855.00,9.759
856.00,9.724
857.00,9.748
858.00,9.752
859.00,9.816
860.00,9.831
861.00,9.796
862.00,9.779
863.00,9.781
864.00,9.851
865.00,9.892
866.00,9.899
867.00,9.846
868.00,9.741
869.00,9.703
870.00,9.735
871.00,9.880
872.00,9.919
873.00,9.944
874.00,9.869
875.00,9.855
876.00,9.754
877.00,9.700
878.00,9.716
879.00,9.709
880.00,9.761
881.00,9.745
882.00,9.812
883.00,9.773
884.00,9.821
885.00,9.836
886.00,9.841
887.00,9.822
888.00,9.816
889.00,9.838
890.00,9.816
891.00,9.830
892.00,9.844
893.00,9.828
894.00,9.843
895.00,9.832
896.00,9.856
897.00,9.855
898.00,9.876
899.00,9.873
900.00,9.872
901.00,9.850
902.00,9.840
903.00,9.797
904.00,9.829
905.00,9.801
906.00,9.806
907.00,9.740
908.00,9.780
909.00,9.803
910.00,9.870
911.00,9.850
912.00,9.859
913.00,9.809
914.00,9.845
915.00,9.858
916.00,9.885
917.00,9.827
918.00,9.804
919.00,9.814
920.00,9.855
921.00,9.894
922.00,9.887
923.00,9.882
924.00,9.812
925.00,9.778
926.00,9.743
927.00,9.806
928.00,9.797
929.00,9.849
930.00,9.818
931.00,9.880
932.00,9.879
933.00,9.862
934.00,9.869
935.00,9.880
936.00,9.918
937.00,9.861
938.00,9.839
939.00,9.828
940.00,9.841
941.00,9.862
