"Tdif_PMMA_1fv_CaCO3 - RawData"
"Wavelength nm.","T%"
1095.00,26.686
1096.00,26.660
1097.00,26.636
1098.00,26.593
1099.00,26.606
1100.00,26.593
1101.00,26.600
1102.00,26.580
1103.00,26.568
1104.00,26.570
1105.00,26.552
1106.00,26.524
1107.00,26.495
1108.00,26.514
1109.00,26.532
1110.00,26.527
1111.00,26.478
1112.00,26.474
1113.00,26.481
1114.00,26.500
1115.00,26.456
1116.00,26.433
1117.00,26.404
1118.00,26.389
1119.00,26.383
1120.00,26.347
1121.00,26.345
1122.00,26.324
1123.00,26.325
1124.00,26.313
1125.00,26.300
1126.00,26.321
1127.00,26.326
1128.00,26.326
1129.00,26.309
1130.00,26.263
1131.00,26.276
1132.00,26.282
1133.00,26.327
1134.00,26.304
1135.00,26.238
1136.00,26.193
1137.00,26.149
1138.00,26.150
1139.00,26.142
1140.00,26.105
1141.00,26.108
1142.00,26.101
1143.00,26.100
1144.00,26.046
1145.00,25.992
1146.00,26.009
1147.00,26.037
1148.00,26.062
1149.00,26.070
1150.00,26.054
1151.00,26.028
1152.00,25.981
1153.00,25.991
1154.00,26.003
1155.00,25.994
1156.00,26.000
1157.00,25.985
1158.00,25.984
1159.00,25.955
1160.00,25.973
1161.00,26.018
1162.00,26.010
1163.00,26.023
1164.00,25.972
1165.00,25.980
1166.00,25.967
1167.00,25.963
1168.00,25.940
1169.00,25.867
1170.00,25.858
1171.00,25.833
1172.00,25.802
1173.00,25.787
1174.00,25.774
1175.00,25.810
1176.00,25.763
1177.00,25.709
1178.00,25.682
1179.00,25.691
1180.00,25.731
1181.00,25.741
1182.00,25.725
1183.00,25.689
1184.00,25.647
1185.00,25.644
1186.00,25.615
1187.00,25.621
1188.00,25.614
1189.00,25.634
1190.00,25.609
1191.00,25.555
1192.00,25.538
1193.00,25.520
1194.00,25.527
1195.00,25.490
1196.00,25.442
1197.00,25.426
1198.00,25.424
1199.00,25.427
1200.00,25.415
1201.00,25.418
1202.00,25.393
1203.00,25.342
1204.00,25.340
1205.00,25.365
1206.00,25.389
1207.00,25.355
1208.00,25.343
1209.00,25.357
1210.00,25.308
1211.00,25.285
1212.00,25.274
1213.00,25.257
1214.00,25.236
1215.00,25.208
1216.00,25.223
1217.00,25.213
1218.00,25.168
1219.00,25.162
1220.00,25.193
1221.00,25.233
1222.00,25.257
1223.00,25.219
1224.00,25.184
1225.00,25.163
1226.00,25.157
1227.00,25.168
1228.00,25.145
1229.00,25.123
1230.00,25.103
1231.00,25.080
1232.00,25.090
1233.00,25.065
1234.00,25.080
1235.00,25.045
1236.00,25.080
1237.00,25.038
1238.00,25.058
1239.00,25.014
1240.00,24.971
1241.00,24.950
1242.00,24.948
1243.00,24.970
1244.00,24.963
1245.00,24.921
1246.00,24.924
1247.00,24.895
1248.00,24.901
1249.00,24.889
1250.00,24.849
1251.00,24.850
1252.00,24.818
1253.00,24.808
1254.00,24.825
1255.00,24.787
1256.00,24.797
1257.00,24.755
1258.00,24.793
1259.00,24.805
1260.00,24.792
1261.00,24.780
1262.00,24.714
1263.00,24.686
1264.00,24.667
1265.00,24.699
1266.00,24.691
1267.00,24.667
1268.00,24.636
1269.00,24.650
1270.00,24.638
1271.00,24.671
1272.00,24.678
1273.00,24.650
1274.00,24.625
1275.00,24.571
1276.00,24.619
1277.00,24.556
1278.00,24.549
1279.00,24.469
1280.00,24.477
1281.00,24.511
1282.00,24.575
1283.00,24.603
1284.00,24.562
1285.00,24.524
1286.00,24.520
1287.00,24.495
1288.00,24.496
1289.00,24.456
1290.00,24.420
1291.00,24.392
1292.00,24.361
1293.00,24.414
1294.00,24.433
1295.00,24.497
1296.00,24.456
1297.00,24.438
1298.00,24.399
1299.00,24.407
1300.00,24.435
1301.00,24.426
1302.00,24.407
1303.00,24.363
1304.00,24.355
1305.00,24.363
1306.00,24.364
1307.00,24.385
1308.00,24.413
1309.00,24.404
1310.00,24.363
1311.00,24.320
1312.00,24.348
1313.00,24.372
1314.00,24.369
1315.00,24.345
1316.00,24.358
1317.00,24.372
1318.00,24.327
1319.00,24.285
1320.00,24.290
1321.00,24.268
1322.00,24.309
1323.00,24.255
1324.00,24.291
1325.00,24.231
1326.00,24.254
1327.00,24.242
1328.00,24.225
1329.00,24.219
1330.00,24.263
1331.00,24.300
1332.00,24.310
1333.00,24.283
1334.00,24.306
1335.00,24.329
1336.00,24.331
1337.00,24.309
1338.00,24.236
1339.00,24.245
1340.00,24.217
1341.00,24.245
1342.00,24.250
1343.00,24.242
1344.00,24.298
1345.00,24.247
1346.00,24.261
1347.00,24.212
1348.00,24.271
1349.00,24.260
1350.00,24.233
1351.00,24.215
1352.00,24.215
1353.00,24.248
1354.00,24.188
1355.00,24.172
1356.00,24.119
1357.00,24.158
1358.00,24.182
1359.00,24.251
1360.00,24.209
