"Ttot_PMMA_1fv_CaCO3 - RawData"
"Wavelength nm.","T%"
1158.00,73.408
1159.00,73.421
1160.00,73.478
1161.00,73.532
1162.00,73.534
1163.00,73.533
1164.00,73.503
1165.00,73.497
1166.00,73.458
1167.00,73.476
1168.00,73.523
1169.00,73.571
1170.00,73.547
1171.00,73.486
1172.00,73.368
1173.00,73.360
1174.00,73.412
1175.00,73.489
1176.00,73.491
1177.00,73.464
1178.00,73.420
1179.00,73.428
1180.00,73.470
1181.00,73.568
1182.00,73.589
1183.00,73.593
1184.00,73.550
1185.00,73.582
1186.00,73.564
1187.00,73.543
1188.00,73.498
1189.00,73.467
1190.00,73.444
1191.00,73.399
1192.00,73.357
1193.00,73.383
1194.00,73.375
1195.00,73.419
1196.00,73.361
1197.00,73.407
1198.00,73.446
1199.00,73.443
1200.00,73.407
1201.00,73.433
1202.00,73.435
1203.00,73.444
1204.00,73.489
1205.00,73.573
1206.00,73.605
1207.00,73.520
1208.00,73.493
1209.00,73.476
1210.00,73.503
1211.00,73.543
1212.00,73.596
1213.00,73.613
1214.00,73.696
1215.00,73.755
1216.00,73.742
1217.00,73.709
1218.00,73.721
1219.00,73.774
1220.00,73.801
1221.00,73.751
1222.00,73.797
1223.00,73.804
1224.00,73.811
1225.00,73.719
1226.00,73.694
1227.00,73.726
1228.00,73.721
1229.00,73.664
1230.00,73.615
1231.00,73.622
1232.00,73.707
1233.00,73.766
1234.00,73.834
1235.00,73.848
1236.00,73.881
1237.00,73.914
1238.00,73.905
1239.00,73.884
1240.00,73.821
1241.00,73.885
1242.00,73.924
1243.00,73.957
1244.00,73.879
1245.00,73.853
1246.00,73.819
1247.00,73.843
1248.00,73.825
1249.00,73.889
1250.00,73.893
1251.00,73.943
1252.00,73.947
1253.00,73.976
1254.00,73.996
1255.00,73.963
1256.00,73.950
1257.00,73.923
1258.00,73.964
1259.00,73.999
1260.00,73.983
1261.00,74.005
1262.00,73.997
1263.00,74.023
1264.00,73.983
1265.00,73.993
1266.00,74.097
1267.00,74.120
1268.00,74.132
1269.00,74.194
1270.00,74.139
1271.00,74.236
1272.00,74.206
1273.00,74.184
1274.00,74.079
1275.00,74.007
1276.00,74.087
1277.00,74.124
1278.00,74.120
1279.00,74.135
1280.00,74.100
1281.00,74.111
1282.00,74.143
1283.00,74.166
1284.00,74.163
1285.00,74.214
1286.00,74.247
1287.00,74.225
1288.00,74.241
1289.00,74.276
1290.00,74.311
1291.00,74.295
1292.00,74.228
1293.00,74.276
1294.00,74.264
1295.00,74.348
1296.00,74.327
1297.00,74.363
1298.00,74.393
1299.00,74.435
1300.00,74.467
1301.00,74.404
1302.00,74.346
1303.00,74.272
1304.00,74.238
1305.00,74.307
1306.00,74.346
1307.00,74.388
1308.00,74.375
1309.00,74.364
1310.00,74.407
1311.00,74.421
1312.00,74.477
1313.00,74.501
1314.00,74.457
1315.00,74.511
1316.00,74.527
1317.00,74.590
1318.00,74.587
1319.00,74.607
1320.00,74.673
1321.00,74.641
1322.00,74.673
1323.00,74.663
1324.00,74.739
1325.00,74.762
1326.00,74.733
1327.00,74.717
1328.00,74.652
1329.00,74.642
1330.00,74.619
1331.00,74.639
1332.00,74.740
1333.00,74.811
1334.00,74.894
1335.00,74.864
1336.00,74.826
1337.00,74.828
1338.00,74.790
1339.00,74.859
1340.00,74.872
1341.00,74.921
1342.00,74.937
1343.00,74.892
1344.00,74.923
1345.00,74.920
1346.00,74.958
1347.00,74.970
1348.00,74.981
1349.00,75.018
1350.00,74.947
1351.00,74.950
1352.00,75.013
1353.00,75.083
1354.00,75.065
1355.00,74.980
1356.00,75.008
1357.00,75.024
1358.00,75.084
1359.00,75.150
1360.00,75.239
1361.00,75.263
1362.00,75.268
1363.00,75.201
1364.00,75.205
1365.00,75.176
1366.00,75.256
1367.00,75.279
1368.00,75.245
1369.00,75.218
1370.00,75.162
1371.00,75.189
1372.00,75.264
1373.00,75.358
1374.00,75.422
1375.00,75.373
1376.00,75.390
1377.00,75.446
1378.00,75.526
1379.00,75.529
1380.00,75.558
1381.00,75.599
1382.00,75.598
1383.00,75.510
1384.00,75.466
1385.00,75.505
1386.00,75.696
1387.00,75.797
1388.00,75.772
1389.00,75.692
1390.00,75.607
1391.00,75.773
1392.00,75.774
1393.00,75.878
1394.00,75.801
1395.00,75.847
1396.00,75.802
1397.00,75.887
1398.00,75.877
1399.00,75.788
1400.00,75.619
